PC1_float,PC2_float,PC3_float,PC4_float,PC5_float,PC6_float,PC7_float,PC8_float,PC9_float,PC10_float,PC11_float,PC12_float,PC1_code,PC2_code,PC3_code,PC4_code,PC5_code,PC6_code,PC7_code,PC8_code,PC9_code,PC10_code,PC11_code,PC12_code,Label
-1677881003.9515934,-105573373.37468514,2581.5786079624677,-33694.04025518479,-1361.2595681125679,-0.9647962833144318,0.6638185665162805,-0.128515764338604,-0.14478150888830965,0.08933204294252532,-0.15826818815510219,-3.463406240165349e-09,5,26555,2769,21409,10398,39206,33460,29034,30012,20825,31448,30043,Benign
-1678367533.8060493,-105798252.67728741,2565.9277053559495,-33693.89752014417,-1377.1053298413156,-0.9213977792044701,0.6958116248892898,-0.13109970346027433,-0.14687080736872343,0.08908559956536527,-0.15782305300217653,-3.512318112059108e-09,5,26555,2769,21409,10398,39206,33460,29034,30012,20825,31448,30043,Benign
-1678217338.5739574,-105728830.83449525,2565.59369659733,-33693.88704255739,-1376.9154850880907,-0.9211285380972088,0.6958019825729649,-0.13110003346518995,-0.14686953081807386,0.08908337500107982,-0.157822426632454,-3.5123105555998812e-09,5,26555,2769,21409,10398,39206,33460,29034,30012,20825,31448,30043,Benign
-1678249431.5722678,-105743664.56158759,2565.6650659901975,-33693.88928135799,-1376.9560502063011,-0.921186068248333,0.695804042896966,-0.13109996295131898,-0.14686980358530666,0.08908385033532885,-0.1578225604721383,-3.5123121702279207e-09,5,26555,2769,21409,10398,39206,33460,29034,30012,20825,31448,30043,Benign
-1677730808.7195737,-105503951.53177533,2564.5117366014592,-33693.853102340385,-1376.30051789602,-0.9202563810061662,0.695770748061109,-0.1311011024554718,-0.1468653956668243,0.08907616893386461,-0.15782039762283995,-3.5122860778387946e-09,5,26555,2769,21409,10398,39206,33460,29034,30012,20825,31448,30043,Benign
-1678670491.7100985,-105938283.06103913,2566.6014324246185,-33693.91865442178,-1377.4882645572225,-0.9219408638310824,0.6958310743478597,-0.13109903780933374,-0.14687338229140126,0.08909008672067606,-0.15782431644879638,-3.512333354147806e-09,5,26555,2769,21409,10398,39206,33460,29034,30012,20825,31448,30043,Benign
-1678397059.3644948,-105811899.70621237,2565.993365197388,-33693.89957984072,-1377.1426497500693,-0.9214507069435044,0.6958135203873708,-0.13109963858751317,-0.14687105831457764,0.08908603687287436,-0.1578231761346861,-3.512319597516906e-09,5,26555,2769,21409,10398,39206,33460,29034,30012,20825,31448,30043,Benign
-1678258417.611799,-105747818.0051661,2564.639245507551,-33693.87886601855,-1377.9193330979424,-0.918435260365585,0.6978022337790083,-0.1312615062144321,-0.14700020266820463,0.08906813033864512,-0.15779465018709118,-3.515368084457063e-09,5,26555,2769,21409,10398,39206,33460,29034,30012,20825,31448,30043,Benign
-1678031199.1837623,-105642795.2173523,2564.133950206049,-33693.863015310344,-1377.6321320610123,-0.9180279468956257,0.6977876466850809,-0.13126200545263778,-0.14699827147619626,0.08906476497216204,-0.1577937026021263,-3.5153566528905404e-09,5,26555,2769,21409,10398,39206,33460,29034,30012,20825,31448,30043,Benign
-1678820686.9421904,-106007704.9038313,2566.9354411832383,-33693.92913200857,-1377.6781093104473,-0.9222101049383437,0.6958407166641847,-0.13109870780441812,-0.14687465884205086,0.0890923112849615,-0.15782494281851892,-3.5123409106070344e-09,5,26555,2769,21409,10398,39206,33460,29034,30012,20825,31448,30043,Benign
